[].date;[].<5;[].5-14;[].15-24;[].25-34;[].35-44;[].45-54;[].55-64;[].65-74;[].75-84;[].>84
2020-11-05;1;6;17;17;14;17;13;6;5;3
2020-11-06;1;6;17;17;14;17;13;6;5;3
2020-11-07;1;6;17;17;14;17;13;6;5;3
2020-11-08;1;6;17;17;14;17;13;6;5;3
2020-11-09;1;6;17;17;14;18;13;6;5;3
2020-11-09;1;6;17;17;14;18;13;6;5;3
2020-11-10;1;6;17;17;14;18;13;7;5;3
2020-11-11;1;6;16;17;14;18;13;7;5;3
2020-11-11;1;6;16;17;14;18;13;7;5;3
2020-11-12;1;6;16;17;15;18;13;7;5;3
2020-11-13;1;6;16;17;15;18;13;7;5;3
2020-11-14;1;6;16;17;15;18;13;7;5;3
2020-11-15;1;6;16;17;15;18;13;7;5;3
2020-11-16;1;6;16;17;15;18;14;7;5;3
2020-11-17;1;6;16;17;15;18;14;7;5;3
2020-11-18;1;6;16;17;15;18;14;7;5;3
2020-11-19;1;6;15;17;15;18;14;7;5;3
2020-11-20;1;6;15;17;15;18;14;7;5;3
2020-11-21;1;6;15;17;15;18;14;7;5;3
2020-11-22;1;6;15;17;15;18;14;7;5;3
2020-11-23;1;6;15;17;15;18;14;7;5;3
2020-11-24;1;6;15;17;15;18;14;7;5;3
2020-11-25;1;6;15;17;15;18;14;7;5;3
2020-11-26;1;6;15;17;15;18;14;7;5;3
2020-11-27;1;6;15;17;15;18;14;7;5;3
2020-11-28;1;6;15;17;15;18;14;7;5;3
2020-11-29;1;6;15;17;15;18;14;7;5;3
2020-11-30;1;6;15;17;15;18;14;7;5;3
2020-12-01;1;6;15;17;15;18;14;7;5;3
2020-12-02;1;6;15;17;15;18;14;7;6;3
2020-12-03;1;6;15;17;15;18;14;7;6;4
2020-12-04;1;6;15;17;15;18;14;7;6;4
2020-12-05;1;6;15;17;15;18;14;7;6;4
2020-12-06;1;6;15;17;15;18;14;7;6;4
2020-12-07;1;6;15;17;15;18;14;7;6;4
2020-12-08;1;6;15;17;15;18;14;7;6;4
2020-12-09;1;6;15;17;15;18;14;7;6;4
2020-12-10;1;6;14;16;15;18;14;7;6;4
2020-12-11;1;6;14;16;15;18;14;7;6;4
2020-12-12;1;6;14;16;15;18;14;7;6;4
2020-12-13;1;6;14;16;15;18;14;7;6;4
2020-12-14;1;6;14;16;15;18;14;7;6;4
2020-12-15;1;6;14;16;15;18;14;7;6;4
2020-12-16;1;6;14;16;15;18;14;7;6;4
2020-12-17;1;6;14;16;15;18;14;7;6;4
2020-12-18;1;6;14;16;15;18;14;7;6;4
2020-12-19;1;6;14;16;15;18;14;7;6;4
2020-12-20;1;6;14;16;15;18;14;7;6;4
2020-12-21;1;6;14;16;15;18;14;7;6;4
2020-12-22;1;6;14;16;15;18;14;7;6;4
2020-12-22;1;6;14;16;15;18;14;7;6;4
2020-12-23;1;6;14;16;15;18;14;7;6;4
2020-12-24;1;6;14;16;15;18;14;7;6;4
2020-12-25;1;6;14;16;15;18;14;7;6;4
2020-12-26;1;6;14;16;15;18;14;7;6;4
2020-12-27;1;6;14;16;15;18;14;7;6;4
2020-12-28;1;6;14;16;15;18;14;7;6;4
2020-12-29;1;6;14;16;15;18;14;7;6;4
2020-12-30;1;6;14;16;15;18;14;7;6;4
2020-12-31;1;6;14;16;15;18;14;7;6;4
2021-01-01;1;6;14;16;15;18;14;7;6;4
2021-01-02;1;6;14;16;15;18;14;7;6;4
2021-01-03;1;6;14;16;15;18;14;7;6;4
2021-01-04;1;6;14;16;15;18;14;7;6;4
2021-01-05;1;6;14;16;15;18;14;7;6;4
2021-01-06;1;5;14;16;15;18;14;7;6;4
2021-01-07;1;5;14;16;15;18;14;7;6;4
2021-01-08;1;5;14;16;15;18;14;7;6;4
2021-01-09;1;5;14;16;15;18;14;7;6;4
2021-01-10;1;5;14;16;15;18;14;7;6;4
2021-01-11;1;5;14;16;15;18;14;7;6;4
2021-01-12;1;5;14;16;15;18;14;7;6;4
2021-01-13;1;5;14;16;15;18;14;7;6;4
2021-01-14;1;5;14;16;15;18;14;7;6;4
2021-01-15;1;5;14;16;15;18;14;7;6;4
2021-01-16;1;5;14;16;15;18;14;7;6;4
2021-01-17;1;5;14;16;15;18;14;7;6;4
2021-01-18;1;5;14;16;15;18;14;7;6;4
2021-01-19;1;5;14;16;15;18;14;7;6;4
2021-01-20;1;5;14;16;15;18;14;7;6;4
2021-01-21;1;5;14;16;15;18;14;7;6;4
2021-01-22;1;5;14;16;15;18;14;7;6;4
2021-01-23;1;5;14;16;15;18;14;7;6;4
2021-01-24;1;5;14;16;15;18;14;7;6;4
2021-01-25;1;5;14;16;15;18;14;7;6;4
2021-01-26;1;5;14;16;15;18;14;7;6;4
2021-01-27;1;5;14;16;15;18;14;7;6;4
2021-01-27;1;5;14;16;15;18;14;7;6;4
2021-01-28;1;5;14;16;15;18;14;7;6;4
2021-01-29;1;5;14;16;15;18;14;7;6;4
2021-01-30;1;5;14;16;15;18;14;7;6;4
2021-01-31;1;5;14;16;15;18;14;7;6;4
2021-02-01;1;5;14;16;15;18;14;7;6;4
2021-02-02;1;5;14;16;15;18;14;7;6;4
2021-02-03;1;5;14;16;15;18;14;7;6;4
2021-02-04;1;5;14;16;15;18;14;7;6;4
2021-02-04;1;5;14;16;15;18;14;7;6;4
2021-02-04;1;5;14;16;15;18;14;7;6;4
2021-02-05;1;5;14;16;15;18;14;7;6;4
2021-02-06;1;5;14;16;15;18;14;7;6;4
2021-02-07;1;5;14;16;15;18;14;7;6;4
2021-02-08;1;6;14;16;15;18;14;7;6;4
2021-02-09;1;6;14;16;15;18;14;7;6;4
2021-02-10;1;6;14;16;15;18;14;7;6;4
2021-02-11;1;6;14;16;15;18;14;7;6;4
2021-02-12;1;6;14;16;15;18;14;7;6;4
2021-02-13;1;6;14;16;15;18;14;7;6;4
2021-02-14;1;6;14;16;15;18;14;7;6;4
2021-02-15;1;6;14;16;15;18;14;7;6;4
2021-02-16;1;6;14;16;15;18;14;7;6;4
2021-02-17;1;6;14;16;15;18;14;7;6;4
2021-02-18;1;6;14;16;15;18;14;7;6;4
2021-02-19;1;6;14;16;15;18;14;7;6;4
2021-02-20;1;6;14;16;15;18;14;7;6;4
2021-02-21;1;6;14;16;15;18;14;7;6;4
2021-02-22;1;6;14;16;15;18;14;7;6;4
2021-02-23;1;6;14;16;15;18;14;7;6;4
2021-02-24;1;6;14;16;15;18;14;7;6;4
2021-02-25;1;6;14;16;15;18;14;7;6;4
2021-02-26;1;6;14;16;15;18;14;7;6;4
2021-02-27;1;6;14;16;15;18;14;7;6;4
2021-02-28;1;6;14;16;15;18;14;7;6;4
2021-02-28;1;6;14;16;15;18;14;7;6;4
2021-03-01;1;6;14;16;15;18;14;7;6;4
2021-03-01;1;6;14;16;15;18;14;7;6;4
2021-03-01;1;6;14;16;15;18;14;7;6;4
2021-03-01;1;6;14;16;15;18;14;7;6;4
2021-03-02;1;6;14;16;15;18;14;7;6;4
2021-03-03;1;6;14;16;15;18;14;7;6;4
2021-03-04;1;6;14;16;15;18;14;7;6;4
2021-03-05;1;6;14;16;15;18;14;7;6;4
2021-03-06;1;6;14;16;15;18;14;7;6;4
2021-03-07;1;6;14;16;15;18;14;7;6;4
2021-03-08;1;6;14;16;15;18;14;7;6;4
2021-03-09;1;6;14;16;15;18;14;7;6;4
2021-03-10;1;6;14;16;15;18;14;7;6;4
2021-03-11;1;6;14;16;15;18;14;7;6;4
2021-03-12;1;6;14;16;15;18;14;7;6;4
2021-03-13;1;6;14;16;15;18;14;7;6;4
2021-03-14;1;6;14;16;15;18;14;7;6;4
2021-03-15;1;6;14;16;15;18;14;7;6;4
2021-03-16;1;6;14;16;15;18;14;7;6;4
